,Variable,P-Value
264,building_height_res30_std_dev_3x3,0.06663187085791142
237,sentinel_2_awei_nsh_mean_3x3,0.06690493025048189
689,no2_july24_mean_9x9,0.06708874411391667
372,sentinel_2_ui_std_dev_3x3,0.06779780947669162
642,has_park_res30_distance_std_dev_5x5,0.06785129154254069
803,savi_std_dev_9x9,0.06810525031659445
896,has_manufacture_res30_distance_std_dev_9x9,0.06816008166076656
127,has_commercial_res30_distance,0.0689084133379218
506,street_orientation_res100_mean_5x5,0.06904504963969837
731,B01_mean_9x9,0.06924521828518364
515,aod47_std_dev_5x5,0.06993722004508908
516,aod55_std_dev_5x5,0.07225123582854717
66,zonedist_level1_res200,0.07240779431871448
550,msavi_std_dev_5x5,0.07324844722521591
245,sentinel_2_albedo_mean_3x3,0.0747738183201755
801,ndvi_std_dev_9x9,0.07501519846358919
302,ui_std_dev_3x3,0.07514867833037053
479,B05_mean_5x5,0.07516542620009957
726,has_manufacture_res500_mean_9x9,0.07572123419694714
50,sd_level1_res30,0.0767759572477668
547,savi_std_dev_5x5,0.07702080273464132
200,has_commercial_res200_mean_3x3,0.07815660214720956
51,sd_level2_res30,0.07977152521391918
265,building_height_std_res30_std_dev_3x3,0.080151497982994
624,sentinel_2_ndsi_std_dev_5x5,0.08027825196234474
407,co_july24_mean_5x5,0.08030945538416381
443,has_commercial_res100_mean_5x5,0.08047131105198513
334,has_residence_res30_std_dev_3x3,0.0812263493888445
827,has_commercial_res100_std_dev_9x9,0.08166343169234273
680,awei_nsh_mean_9x9,0.08167997692664328
727,has_commercial_res500_mean_9x9,0.08169452078081442
256,has_commercial_res30_distance_mean_3x3,0.08204782554792854
762,street_orientation_res100_mean_9x9,0.08304706206555568
425,awei_sh_mean_5x5,0.08350098838022704
510,street_orientation_res30_mean_5x5,0.08437623263103139
47,no2_july24,0.08479698216379418
18,canopy_heigth_count_res30,0.08723347798538608
513,has_commercial_res30_distance_mean_5x5,0.08734633387328797
478,B04_mean_5x5,0.08818816124159669
207,has_commercial_res30_mean_3x3,0.08851759309822355
723,zonedist_level2_res500_mean_9x9,0.09014964334563272
7,building_height_std_res30,0.09104695104114097
562,overlay_level2_res30_std_dev_5x5,0.09159460017242003
46,albedo,0.09219494304376369
219,B02_mean_3x3,0.09308512096730849
576,has_residence_res1000_std_dev_5x5,0.09327602300130411
414,swir22_mean_5x5,0.09340323008678962
427,nbr_mean_5x5,0.09386208588921417
582,zonedist_level3_res200_std_dev_5x5,0.0942311417083506
475,B01_mean_5x5,0.09423248893655513
369,sentinel_2_nbr_std_dev_3x3,0.09504749846721287
220,B03_mean_3x3,0.09583756594046317
720,has_commercial_res30_mean_9x9,0.09688951461899578
448,has_residence_res1000_mean_5x5,0.09693417406987975
196,zonedist_level2_res200_mean_3x3,0.09693627310768836
581,zonedist_level2_res200_std_dev_5x5,0.0973701476889247
769,has_commercial_res30_distance_mean_9x9,0.09741284182542911
22,hcho_july24,0.09798925384853514
216,o3_july24_mean_3x3,0.09833190472475851
841,has_commercial_res200_std_dev_9x9,0.0984683436199058
474,population_res1000_mean_5x5,0.09847361678582363
150,co_july24_mean_3x3,0.09906212969599446
